report_date,year,quarter,mdrm_code,account_name,statement_type,category,value
2023-12-31,2023,4,BHCK1773,Available-for-sale debt securities,balance_sheet,assets,25000000.0
2023-12-31,2023,4,BHCK0081,Cash and balances due from depository institutions - Noninterest-bearing,balance_sheet,assets,5000000.0
2023-12-31,2023,4,BHCK1754,Held-to-maturity securities,balance_sheet,assets,10000000.0
2023-12-31,2023,4,BHCK3163,Intangible assets - Goodwill,balance_sheet,assets,500000.0
2023-12-31,2023,4,BHCK0395,Interest-bearing balances in U.S. offices,balance_sheet,assets,2000000.0
2023-12-31,2023,4,BHCK3123,LESS: Allowance for loan and lease losses,balance_sheet,assets,1500000.0
2023-12-31,2023,4,BHCKB528,"Loans and leases, net of allowance and reserve",balance_sheet,assets,78500000.0
2023-12-31,2023,4,BHCK2122,"Loans and leases, net of unearned income",balance_sheet,assets,80000000.0
2023-12-31,2023,4,BHCK2160,Other assets,balance_sheet,assets,3000000.0
2023-12-31,2023,4,BHCK2145,Premises and fixed assets,balance_sheet,assets,1000000.0
2023-12-31,2023,4,BHCK2170,Total assets,balance_sheet,assets,150000000.0
2023-12-31,2023,4,BHCK3632,Retained earnings,balance_sheet,equity,15000000.0
2023-12-31,2023,4,BHCK3210,Total equity capital,balance_sheet,equity,20000000.0
2023-12-31,2023,4,BHCK3300,Total liabilities and equity capital,balance_sheet,equity,150000000.0
2023-12-31,2023,4,BHDM6636,Deposits in domestic offices - Interest-bearing,balance_sheet,liabilities,100000000.0
2023-12-31,2023,4,BHDM6631,Deposits in domestic offices - Noninterest-bearing,balance_sheet,liabilities,20000000.0
2023-12-31,2023,4,BHCK2948,Total liabilities,balance_sheet,liabilities,130000000.0
